v1,v2,v3,v4,v5,v6
38,50,0,0,0,0
12,72,0,0,0,0
36,54,0,0,0,0
29,83,0,0,0,0
13,34,0,0,0,0
11,30,0,0,0,0
1,55,0,0,0,0
5,41,0,7.2,0,0
1,31,0,0,0,0
19,42,156.07,8.1,0,0
4,46,0,0,0,0
3,39,0,10.64,0,0
2,5,0,0,0,0
3,26,443.13,0,0,0
7,59,0,0,0,0
8,46,92.33,0,0,0
13,113,0,4.5,0,0
2,18,0,0,0,0
7,10,0,0,0,0
16,71,0,0,0,0
9,82,89.22,0,0,17.5
1,5,0,0,0,0
5,76,1666.25,14.87,0,69
12,148,11.03,0,0,0
1,31,403.26,0,0,0
6,147,514.13,0,5.92,0
0,14,0,0,0,0
0,26,109,0,0,0
3,53,21,12.93,0,0
0,21,0,0,0,0
0,65,208,7.24,5.5241,0
3,13,0,0,0,0
0,21,0,0,9.8,0
0,0,0,0,0,0
0,16,0,0,0,0
3,29,0,0,4.9375,0
1,11,0,0,2.06,0
0,8,0,0,0,0
3,6,73.25,0,0,135
0,1,0,0,0,0
3,11,0,0,0,0
3,16,0,0,8.7,0
1,7,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,3,0,0,0,0
0,2,0,0,0,0
0,0,0,0,0,0
0,8,0,0,0,0
0,0,0,0,0,0
12,144,42.37,0,0,0
8,96,226,0,0,0
9,61,183,0,0,0
2,25,0,0,0,0
13,111,137.4,0,0,0
4,48,33.96,3.5,0,0
6,73,489.5968,4.5,0,0
3,27,64,0,0,0
3,28,12.5,0,0,0
6,27,9.2,0,0,0
9,46,266.5,0,0,0
3,7,38,0,0,0
4,53,160,0,0,0
2,52,13.9,0,0,0
3,47,166.55,0,0,0
0,30,164.2,0,0,0
12,38,188.84,0,0,52.8
3,5,21.3,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,4,6.1,0,0,0
1,3,0,0,0,0
1,24,49.7,3.5,27.6,0
0,3,0,0,0,0
0,1,0,0,0,0
1,1,0,0,0,0
0,4,0,0,0,0
1,2,0,0,0,0
1,0,0,0,0,0
2,1,0,0,0,0
0,21,0,0,0,0
5,18,200,0,0,0
6,38,0,0,0,0
10,32,0,0,0,0
16,54,0,0,0,0
13,34,1048,4.4,0,0
15,64,0,0,0,0
5,54,0,0,0,0
0,10,0,0,0,0
1,20,221.54,0,0,0
3,23,0,0,0,0
8,31,0,0,0,0
3,29,347.62,0,0,0
3,32,0,3.2,0,0
5,31,0,0,7.6223,0
2,35,26.12,0,0,0
4,30,0,0,0,0
0,27,0,0,0,0
1,3,0,0,0,0
1333,1334,0,0,0,0
840,841,0,0,0,0
5383,5384,0,4.37,0,0
2941,2942,0,0,0,0
4148,4149,0,0,0,277.5
4012,4013,20.29,0,0,0
11790,11791,18,0,0,0
14068,14069,106.88,0,5,0
389,390,0,0,0,0
4548,4549,124,0,5.9178,0
1089,1090,0,0,2.0932,0
1219,1220,0,0,0,0
747,748,0,0,0,0
770,771,0,0,0,0
549,550,0,0,0,0
2144,2145,0,0,0,0
804,805,0,0,0,0
858,859,0,0,0,0
891,892,227,0,8.0825,0
249,250,0,0,0,0
2929,2930,77,0,0,0
1035,1036,0,0,0,0
1056,1057,0,0,0,0
511,512,0,0,0,0
529,530,0,0,0,0
206,207,0,0,1.7,0
2075,2076,0,0,0,0
2400,2401,0,0,0,0
2457,2458,21.83,0,0,0
1566,1567,0,0,4.95,0
257,258,140.83,0,0,16.74
661,662,0,0,0,0
299,300,0,0,5.5,0
191,192,0,0,0.3361,0
78,79,0,0,0,0
5560,5561,151.75,0,5.84,0
3310,3311,0,0,4.5902,0
1394,1395,0,0,0,0
64,65,0,0,0,0
16356,16357,74.67,4.95,0,0
12621,12622,0,0,0,0
7808,7809,0,0,0,0
8964,8965,0,0,0,0
11448,11449,123.26,14.5,0,0
4521,4522,0,0,0,0
3,16,0,0,0,0
26344,26345,609,0,0,0
23341,23342,432.9,3,3.72,0
4628,4629,17,0,0,0
7838,7839,235.17,0,2.3427,0
9431,9432,178,0,0,10
4351,4352,265.38,0,0,0
9514,9515,0,0,0,4.5
9132,9133,0,0,0,0
5537,5538,268,0,0,0
10068,10069,104,0,0,0
2252,2253,1177.52,0,0,0
2770,2771,892.0234,0,5.6,102
